DEPTH,DT,SDT,E,AI,PR,RHO,VP,VS
310.0,159.2621,563.0049,1.8058,4058.8879,0.4566,2.1208,1913.8263277955018,541.3807233294062
310.5,159.845,568.1642,1.7595,4000.5161,0.457,2.098,1906.8472582814604,536.4646346953926
311.0,159.8734,567.4963,1.764,4001.0925,0.4569,2.0986,1906.5085248703037,537.0960127845767
311.5,160.1637,568.1353,1.7569,3986.9597,0.4568,2.095,1903.0529389618246,536.4919236667745
312.0,162.4627,577.5655,1.6764,3874.196,0.457,2.0647,1876.1229500679233,527.7323524344857
312.5,164.8911,595.301,1.5508,3747.9185,0.4584,2.0275,1848.4927324761616,512.0098907947408
313.0,167.3583,618.4778,1.4382,3691.5505,0.4605,2.027,1821.2422090807565,492.82286284164127
313.5,166.614,614.484,1.4817,3770.3257,0.4603,2.0609,1829.3780834743782,496.0259339543422
314.0,163.9852,594.2795,1.5965,3862.5725,0.4588,2.0781,1858.7043220973599,512.8899785370352
314.5,162.9674,585.2069,1.6051,3791.2549,0.4579,2.027,1870.3127128493184,520.8414323207741
315.0,162.4386,587.6711,1.5957,3814.407,0.4586,2.0327,1876.4012987060958,518.6574599295423
315.5,163.1531,576.0885,1.7051,3892.1086,0.4563,2.0831,1868.1839327600887,529.0853749033353
316.0,163.6942,587.5105,1.6084,3800.8726,0.4578,2.0408,1862.0085500891298,518.7992384816953
316.5,160.6249,551.0287,1.8369,3918.4048,0.4536,2.065,1897.5887300163304,553.1472317140651
317.0,162.4266,556.1713,1.8368,3947.8313,0.4534,2.1038,1876.539926342114,548.032593555259
317.5,162.0214,567.0803,1.777,3974.6135,0.4556,2.1128,1881.2329729282678,537.4900168459388
318.0,162.4364,570.0438,1.7394,3920.9646,0.4558,2.0896,1876.4267122393753,534.6957549577769
318.5,162.4206,559.1387,1.786,3877.9368,0.4539,2.0665,1876.6092478417147,545.1241346735613
319.0,164.1741,536.2724,1.9448,3855.5271,0.4482,2.0767,1856.5656824066646,568.3678667781523
319.5,163.2814,531.4988,1.9675,3856.4797,0.4479,2.0659,1866.715988471437,573.4726023840507
320.0,162.5381,534.9041,1.9445,3874.5549,0.4491,2.0662,1875.2526330749529,569.8217680515069
320.5,163.4647,528.7997,2.0341,3943.6716,0.4472,2.1151,1864.622759531569,576.3997218606592
321.0,165.4968,519.9956,2.1352,3964.1006,0.4436,2.1524,1841.7274533404875,586.1588059591274
