DEPTH,VP,RHO,GR,IP,VSH,RHOm,RHOf,PHIE
1993.4408,2079.13,1.9281,90.1655,4008.770553,0.274303442922,2.69388855087,1.09,0.477457458284
1993.59314,2115.2,1.935,88.5734,4092.912,0.260385414263,2.69166166628,1.09,0.472422910663
1993.74561,2107.88,1.9673,87.8842,4146.832324,0.254360475281,2.69069767605,1.09,0.451926486101
1993.89795,2115.2,2.0009,86.3861,4232.30368,0.241264188154,2.6886022701,1.09,0.430189724465
1994.05042,2131.47,2.0187,84.6319,4302.798489,0.225929092448,2.68614865479,1.09,0.41816196304
1994.20276,2137.45,2.02,87.1546,4317.649,0.24798236228,2.68967717796,1.09,0.418632701141
1994.35522,2163.24,2.0087,85.6961,4345.300188,0.235232255628,2.6876371609,1.09,0.424963300502
1994.50757,2200.72,1.9872,88.7903,4373.270784,0.262281539139,2.69196504626,1.09,0.439937842531
1994.66003,2244.48,1.9525,91.3032,4382.3472,0.284249138046,2.69547986209,1.09,0.462777440959
1994.81238,2191.23,1.9317,90.2938,4232.798991,0.275425032695,2.69406800523,1.09,0.475271623613
1994.96484,2160.17,1.9295,88.8152,4168.048015,0.262499213226,2.69199987412,1.09,0.475967499396
1995.11719,2102.07,1.9444,88.3432,4087.264908,0.258373021701,2.69133968347,1.09,0.466446745298
1995.26965,2093.41,2.0066,89.4238,4200.636506,0.267819552553,2.69285112841,1.09,0.428144021766
1995.422,2056.68,1.9692,88.5473,4050.014256,0.260157249858,2.69162515998,1.09,0.451057574537
1995.57434,2083.39,1.9189,88.5673,3997.817071,0.260332088482,2.69165313416,1.09,0.482472214287
1995.72681,2218.34,1.8951,90.5701,4203.976134,0.277840428285,2.69445446853,1.09,0.498209506226
1995.87915,2223.19,1.9132,90.4421,4253.407108,0.276721461091,2.69427543377,1.09,0.486871155246
1996.03162,2237.89,1.9837,89.3928,4439.302393,0.267548552686,2.69280776843,1.09,0.442415979256
1996.18396,2188.08,2.0618,89.4324,4511.383344,0.267894733161,2.69286315731,1.09,0.393709939884
1996.33643,2186.51,2.1141,90.5309,4622.500791,0.277497744582,2.69439963913,1.09,0.361692701107
1996.48877,2096.29,2.1057,90.1128,4414.157853,0.273842743148,2.6938148389,1.09,0.366697466963
1996.64124,2109.34,2.0773,89.5155,4381.731982,0.268621187644,2.69297939002,1.09,0.384084407981
1996.79358,2143.46,2.0815,90.7341,4461.61199,0.279274105001,2.6946838568,1.09,0.382121284639
1996.94604,2135.95,2.0781,88.7426,4438.717695,0.261864549021,2.69189832784,1.09,0.383169341758
1997.09839,2115.2,2.0842,88.8079,4408.49984,0.262435397128,2.69198966354,1.09,0.379396744794
1997.25085,2140.45,2.0907,86.711,4475.038815,0.2441044416,2.68905671066,1.09,0.374193552154
1997.4032,2152.54,2.0868,88.6921,4491.920472,0.261423081496,2.69182769304,1.09,0.377710845972
1997.55554,2155.59,2.056,90.0919,4431.89304,0.273660036786,2.69378560589,1.09,0.397675102922
1997.70801,2161.7,2.0456,93.7105,4421.97352,0.305293589017,2.69884697424,1.09,0.406034249808
1997.86035,2181.82,2.0298,91.9254,4428.658236,0.289688367637,2.69635013882,1.09,0.414946979935
1998.01282,2163.24,2.0485,89.0917,4431.39714,0.264916357202,2.69238661715,1.09,0.401829752109
1998.16516,2164.77,2.0283,91.0089,4390.802991,0.281676387694,2.69506822203,1.09,0.415414256465
1998.31763,2152.54,2.0562,90.5013,4426.052748,0.277238983418,2.69435823735,1.09,0.397765425758
1998.46997,2138.95,2.0953,91.3217,4481.741935,0.284410863773,2.6955057382,1.09,0.373842163202
1998.62244,2158.64,2.1444,91.5191,4628.987616,0.286136520991,2.69578184336,1.09,0.343372822179
1998.77478,2200.72,2.1899,91.9711,4819.356728,0.290087873892,2.69641405982,1.09,0.315307287511
1998.92725,2191.23,2.2185,91.4628,4861.243755,0.285644350265,2.69570309604,1.09,0.297192611273
1999.07959,2199.13,2.1857,93.0592,4806.638441,0.299599969228,2.69793599508,1.09,0.318567403581
1999.23206,2208.7,2.1597,92.0189,4770.12939,0.290505738204,2.69648091811,1.09,0.334134636808
1999.3844,2200.72,2.1612,89.3444,4756.196064,0.267125443216,2.69274007091,1.09,0.331644588265
1999.53674,2199.13,2.1654,91.9151,4761.996102,0.289598325745,2.69633573212,1.09,0.330526004933
1999.68921,2170.94,2.1573,94.8824,4683.368862,0.315538258188,2.70048612131,1.09,0.337280845903
1999.84155,2183.38,2.1589,95.9379,4713.699082,0.324765366567,2.70196245865,1.09,0.336895227141
1999.99402,2144.97,2.1774,96.8327,4670.457678,0.332587646602,2.70321402346,1.09,0.32594188732
2000.14636,2219.96,2.2215,95.6822,4931.64114,0.322530054759,2.70160480876,1.09,0.297904800328
2000.29883,2191.23,2.2551,92.0527,4941.442773,0.290801215478,2.69652819448,1.09,0.274771520347
2000.45117,2188.08,2.2484,92.768,4919.679072,0.297054318864,2.69752869102,1.09,0.279390777613
2000.60364,2259.45,2.2516,90.2429,5087.37762,0.274980068397,2.69399681094,1.09,0.275809033986
2000.75598,2241.18,2.2479,87.4807,5037.948522,0.250833106043,2.69013329697,1.09,0.276372785821
2000.90845,2256.11,2.2313,89.5274,5034.058243,0.268725216625,2.69299603466,1.09,0.288020696669
2001.06079,2249.45,2.2199,87.2339,4993.554055,0.248675597424,2.68978809559,1.09,0.293718959957
2001.21326,2197.55,2.2257,90.5105,4891.087035,0.277319409185,2.69437110547,1.09,0.29212138256
2001.3656,2234.6,2.232,96.5985,4987.6272,0.330540286316,2.70288644581,1.09,0.29195263376
2001.51794,2228.07,2.2754,97.8013,5069.750478,0.34105508116,2.70456881299,1.09,0.265810171443
2001.67041,2191.23,2.3607,101.0224,5172.836661,0.36921371574,2.70907419452,1.09,0.215168764778
2001.82275,2192.81,2.4068,98.5658,5277.655108,0.347738287561,2.70563812601,1.09,0.18496600272
2001.97522,2183.38,2.3197,97.211,5064.786586,0.335894719174,2.70374315507,1.09,0.237982825124
2002.12756,2191.23,2.2109,96.4521,4844.590407,0.329260467588,2.70268167481,1.09,0.304946526332
2002.28003,2218.34,2.1595,96.3343,4790.50523,0.328230668093,2.70251690689,1.09,0.336751140142
2002.43237,2252.77,2.1212,95.8995,4778.575724,0.324429676409,2.70190874823,1.09,0.360261552563
2002.58484,2272.93,2.1144,94.9817,4805.883192,0.316406331956,2.70062501311,1.09,0.363973617906
2002.73718,2302.11,2.0868,96.5289,4804.043148,0.329931847904,2.70278909566,1.09,0.381940265668
2002.88965,2330.28,2.1187,96.2584,4937.164236,0.327567155515,2.70241074488,1.09,0.362011197665
2003.04199,2307.34,2.1265,98.4109,4906.55851,0.346384162418,2.70542146599,1.09,0.358371779858
2003.19446,2283.15,2.1316,95.1161,4866.76254,0.317581247509,2.7008129996,1.09,0.353370006166
2003.3468,2237.89,2.124,93.5416,4753.27836,0.303817076838,2.69861073229,1.09,0.357209311587
2003.49915,2251.11,2.1227,91.6262,4778.431197,0.287072781822,2.69593164509,1.09,0.356946478291
2003.65161,2234.6,2.0931,90.2767,4677.24126,0.275275545671,2.69404408731,1.09,0.374643123629
2003.80396,2266.17,2.052,94.2571,4650.18084,0.31007192861,2.69961150858,1.09,0.402340257339
2003.95642,2288.29,2.0371,95.4351,4661.475559,0.320369923561,2.70125918777,1.09,0.412198852184
2004.10876,2314.35,2.0868,95.5995,4829.58558,0.321807097049,2.70148913553,1.09,0.381441687676
2004.26123,2281.44,2.1347,93.3364,4870.189968,0.302023232556,2.69832371721,1.09,0.350441712187
2004.41357,2286.57,2.1446,93.3294,4903.778022,0.301962039038,2.69831392625,1.09,0.344282243168
2004.56604,2328.5,2.1107,94.3611,4914.76495,0.310981089454,2.69975697431,1.09,0.365929133225
2004.71838,2386.84,2.0945,93.0112,4999.23638,0.299180356531,2.69786885704,1.09,0.375259993625
2004.87085,2396.23,2.094,96.0428,5017.70562,0.325682395149,2.70210918322,1.09,0.377213398169
2005.02319,2392.46,2.11,95.4852,5048.0906,0.320807894314,2.70132926309,1.09,0.366982265286
2005.17566,2396.23,2.1325,92.7145,5109.960475,0.296586625545,2.69745386009,1.09,0.351458834443
2005.328,2359.13,2.1852,91.8184,5155.170876,0.288752980999,2.69620047696,1.09,0.318142401456
2005.48035,2394.34,2.2087,98.7993,5288.378758,0.349779528495,2.70596472456,1.09,0.307720036831
2005.63281,2341.01,2.1787,97.7953,5100.358487,0.341002629573,2.70456042073,1.09,0.325698818068
2005.78516,2339.22,2.1346,97.702,4993.299012,0.340187007392,2.70442992118,1.09,0.352960456014
2005.93762,2319.63,2.1194,98.6805,4916.223822,0.348740987069,2.70579855793,1.09,0.362915633915
2006.08997,2339.22,2.1009,97.3127,4914.467298,0.336783773577,2.70388540377,1.09,0.373623432223
2006.24243,2350.04,2.1195,97.157,4980.90978,0.33542265489,2.70366762478,1.09,0.362012359801
2006.39478,2316.11,2.1299,97.9195,4933.082689,0.342088377428,2.70473414039,1.09,0.355993055458
2006.54724,2323.17,2.1341,95.3779,4957.877097,0.319869885096,2.70117918162,1.09,0.351965310926
2006.69958,2310.84,2.1076,96.4627,4870.326384,0.329353132059,2.70269650113,1.09,0.369007126085
2006.85205,2293.45,2.1015,97.9007,4819.685175,0.341924029121,2.70470784466,1.09,0.373570888786
2007.00439,2269.55,2.0955,96.957,4755.842025,0.33367426865,2.70338788298,1.09,0.376777270609
2007.15686,2296.91,2.1184,96.7932,4865.774144,0.33224234032,2.70315877445,1.09,0.36249300671
2007.3092,2341.01,2.1285,93.7957,4982.839785,0.306038401555,2.69896614425,1.09,0.354554473559
2007.46155,2370.14,2.1575,91.7341,5113.57705,0.288016036199,2.69608256579,1.09,0.335339276612
2007.61401,2415.21,2.1632,89.6095,5224.582272,0.269442929176,2.69311086867,1.09,0.330551603776
2007.76636,2366.46,2.1717,93.6111,5139.241182,0.304424641056,2.69870794257,1.09,0.327597029034
2007.91882,2342.81,2.1501,94.2212,5037.275781,0.30975809328,2.69956129492,1.09,0.341373327414
2008.07117,2353.67,2.1324,97.0149,5018.965908,0.334180426466,2.70346886823,1.09,0.353938572648
2008.22363,2413.3,2.1226,98.8029,5122.47058,0.349810999448,2.70596975991,1.09,0.36100289398
2008.37598,2283.15,2.1557,97.5436,4921.786455,0.33880228549,2.70420836568,1.09,0.339800224891
2008.52844,2210.3,2.2073,99.984,4878.79519,0.360136094385,2.7076217751,1.09,0.309294658864
2008.68079,2216.73,2.1909,102.0207,4856.633757,0.377940785655,2.7104705257,1.09,0.320629420568
2008.83325,2291.73,2.175,105.9858,4984.51275,0.412603417046,2.71601654673,1.09,0.332725117599
2008.9856,2377.54,2.1661,105.9038,5149.989394,0.411886578688,2.71590185259,1.09,0.338151931935
2009.13794,2476.04,2.1575,102.7001,5342.0563,0.38388005371,2.71142080859,1.09,0.341626803886
2009.29041,2458.06,2.133,100.2997,5243.04198,0.362895922064,2.70806334753,1.09,0.355402245782
2009.44275,2442.31,2.1007,101.8179,5130.560617,0.376167922008,2.71018686752,1.09,0.376183068595
2009.59521,2458.06,2.1152,103.0622,5199.288512,0.387045506997,2.71192728112,1.09,0.367912475526
2009.74756,2444.27,2.1383,101.842,5226.582541,0.37637860255,2.71022057641,1.09,0.352989330426
