DEPTH,DT,DTS,GR,RHO,VP,VS,VPVS,IP,IS,VSH,RHOm,RHOf,PHIE,SWE,VP_FRMB,VS_FRMB,RHO_FRMB,K_FRMB,K_DRY,VP_FRMO,VS_FRMO,RHO_FRMO,K_FRMO,VP_FRMG,VS_FRMG,RHO_FRMG,K_FRMG
2100.072,127.134,312.372,86.778,2.262,2397.47038558,975.759671161,2.45702959083,5423.07801218,2207.16837617,0.484500652966,2.72752010447,1.09,0.284283596398,1.0,2397.47038558,975.759671161,2.262,,,2397.47038558,975.759671161,2.262,,2397.47038558,975.759671161,2.262,
2100.2244,128.017,313.654,90.658,2.26,2380.93378223,971.771442417,2.45009647156,5380.91034784,2196.20345986,0.537837652072,2.73605402433,1.09,0.289209234505,1.0,2380.93378223,971.771442417,2.26,,,2380.93378223,971.771442417,2.26,,2380.93378223,971.771442417,2.26,
2100.3767,128.512,313.706,102.479,2.267,2371.76294821,971.610361294,2.44106386952,5376.78660359,2202.64068905,0.700336792907,2.76205388687,1.09,0.296075318358,1.0,2371.76294821,971.610361294,2.267,,,2371.76294821,971.610361294,2.267,,2371.76294821,971.610361294,2.267,
2100.5293,128.534,316.362,114.549,2.272,2371.35699504,963.453259241,2.46130984798,5387.72309272,2188.965805,0.866258849405,2.7886014159,1.09,0.304133395314,1.0,2371.35699504,963.453259241,2.272,,,2371.35699504,963.453259241,2.272,,2371.35699504,963.453259241,2.272,
2100.6816,128.309,321.356,118.948,2.275,2375.51535746,948.480812557,2.50454761552,5404.29743822,2157.79384857,0.926730359475,2.79827685752,1.09,0.306318530989,1.0,2375.51535746,948.480812557,2.275,,,2375.51535746,948.480812557,2.275,,2375.51535746,948.480812557,2.275,
2100.834,128.146,323.76,114.12,2.28,2378.53698126,941.438102298,2.52649321867,5423.06431726,2146.47887324,0.860361536875,2.7876578459,1.09,0.29903425306,1.0,2378.53698126,941.438102298,2.28,,,2378.53698126,941.438102298,2.28,,2378.53698126,941.438102298,2.28,
2100.9863,127.758,326.234,112.324,2.282,2385.76057859,934.298693576,2.55353089435,5444.30564035,2132.06961874,0.835672554815,2.78370760877,1.09,0.296218548097,1.0,2385.76057859,934.298693576,2.282,,,2385.76057859,934.298693576,2.282,,2385.76057859,934.298693576,2.282,
2101.1389,127.097,328.582,117.637,2.276,2398.16832813,927.622328673,2.58528525457,5458.23111482,2111.26842006,0.908708502303,2.79539336037,1.09,0.304559272036,1.0,2398.16832813,927.622328673,2.276,,,2398.16832813,927.622328673,2.276,,2398.16832813,927.622328673,2.276,
2101.2913,125.948,329.102,116.256,2.267,2420.04636834,926.15663229,2.61299901547,5486.24511703,2099.5970854,0.889724379682,2.79235590075,1.09,0.308605210296,1.0,2420.04636834,926.15663229,2.267,,,2420.04636834,926.15663229,2.267,,2420.04636834,926.15663229,2.267,
2101.4436,125.105,326.421,109.905,2.265,2436.35346309,933.763452719,2.60917629191,5518.3405939,2114.97422041,0.802419410269,2.77838710564,1.09,0.304069548936,1.0,2436.35346309,933.763452719,2.265,,,2436.35346309,933.763452719,2.265,,2436.35346309,933.763452719,2.265,
2101.5959,124.709,320.836,105.899,2.272,2444.08984115,950.018077772,2.5726771925,5552.97211909,2158.4410727,0.747350333356,2.76957605334,1.09,0.296250980924,1.0,2444.08984115,950.018077772,2.272,,,2444.08984115,950.018077772,2.272,,2444.08984115,950.018077772,2.272,
2101.7485,124.585,316.601,105.451,2.28,2446.52245455,962.725954751,2.54124493318,5578.07119637,2195.01517683,0.74119183449,2.76859069352,1.09,0.291071966147,1.0,2446.52245455,962.725954751,2.28,,,2446.52245455,962.725954751,2.28,,2446.52245455,962.725954751,2.28,
2101.9009,124.484,313.456,107.638,2.281,2448.50743871,972.385278955,2.51804247935,5585.04546769,2218.0108213,0.771255756409,2.77340092103,1.09,0.292503654284,1.0,2448.50743871,972.385278955,2.281,,,2448.50743871,972.385278955,2.281,,2448.50743871,972.385278955,2.281,
2102.0532,124.288,312.563,109.365,2.273,2452.36869207,975.163407057,2.51482846292,5574.23403708,2216.54642424,0.794996219671,2.77719939515,1.09,0.298838060633,1.0,2452.36869207,975.163407057,2.273,,,2452.36869207,975.163407057,2.273,,2452.36869207,975.163407057,2.273,
2102.2056,124.166,312.571,106.911,2.263,2454.77828069,975.138448544,2.51736385162,5555.1632492,2206.73830906,0.761261942402,2.77180191078,1.09,0.302533792786,1.0,2454.77828069,975.138448544,2.263,,,2454.77828069,975.138448544,2.263,,2454.77828069,975.138448544,2.263,
2102.3579,124.163,312.285,97.71,2.26,2454.83759252,976.031509679,2.5151212519,5547.93295909,2205.83121187,0.634779022613,2.75156464362,1.09,0.295844429229,1.0,2454.83759252,976.031509679,2.26,,,2454.83759252,976.031509679,2.26,,2454.83759252,976.031509679,2.26,
2102.5105,124.178,311.934,89.672,2.265,2454.54106202,977.129777453,2.51199085184,5559.53550548,2213.19894593,0.524283455908,2.73388535295,1.09,0.285229959684,1.0,2454.54106202,977.129777453,2.265,,,2454.54106202,977.129777453,2.265,,2454.54106202,977.129777453,2.265,
2102.6628,124.135,309.875,88.904,2.27,2455.39130785,983.622428399,2.49627421759,5573.73826882,2232.82291246,0.51372602928,2.73219616468,1.09,0.281450032965,1.0,2455.39130785,983.622428399,2.27,,,2455.39130785,983.622428399,2.27,,2455.39130785,983.622428399,2.27,
2102.8152,124.013,309.183,94.381,2.27,2457.80684283,985.823929517,2.4931499117,5579.22153323,2237.82032,0.589016427246,2.74424262836,1.09,0.286682630606,1.0,2457.80684283,985.823929517,2.27,,,2457.80684283,985.823929517,2.27,,2457.80684283,985.823929517,2.27,
2102.9675,123.8,309.255,104.814,2.27,2462.0355412,985.594412378,2.49802100162,5588.82067851,2237.2993161,0.732435218915,2.76718963503,1.09,0.296442110447,1.0,2462.0355412,985.594412378,2.27,,,2462.0355412,985.594412378,2.27,,2462.0355412,985.594412378,2.27,
2103.1201,123.629,310.436,111.037,2.27,2465.44095641,981.844889124,2.5110289657,5596.55097105,2228.78789831,0.817980617225,2.78087689876,1.09,0.302137251465,1.0,2465.44095641,981.844889124,2.27,,,2465.44095641,981.844889124,2.27,,2465.44095641,981.844889124,2.27,
2103.2725,123.611,312.091,108.04,2.268,2465.79996926,976.638224108,2.52478339306,5592.43433028,2215.01549228,0.77678190941,2.77428510551,1.09,0.300593470696,1.0,2465.79996926,976.638224108,2.268,,,2465.79996926,976.638224108,2.268,,2465.79996926,976.638224108,2.268,
2103.4248,124.047,314.118,105.737,2.262,2457.13318339,970.335988387,2.53224987303,5558.03526083,2194.90000573,0.745123376177,2.76921974019,1.09,0.302056799387,1.0,2457.13318339,970.335988387,2.262,,,2457.13318339,970.335988387,2.262,,2457.13318339,970.335988387,2.262,
2103.5771,124.913,319.164,108.257,2.255,2440.09830842,954.99492424,2.55509034288,5502.42168549,2153.51355416,0.779764932298,2.77476238917,1.09,0.308507830249,1.0,2440.09830842,954.99492424,2.255,,,2440.09830842,954.99492424,2.255,,2440.09830842,954.99492424,2.255,
2103.7297,126.255,325.833,116.223,2.237,2414.16181537,935.448527313,2.5807532375,5400.47998099,2092.5983556,0.889270740257,2.79228331844,1.09,0.32619911881,1.0,2414.16181537,935.448527313,2.237,,,2414.16181537,935.448527313,2.237,,2414.16181537,935.448527313,2.237,
2103.8821,127.582,331.136,124.278,2.197,2389.05174711,920.467723232,2.59547585083,5248.7466884,2022.26758794,1.0,2.81,1.09,0.356395348837,1.0,2389.05174711,920.467723232,2.197,,,2389.05174711,920.467723232,2.197,,2389.05174711,920.467723232,2.197,
2104.0344,128.907,331.252,123.415,2.174,2364.49533385,920.145387801,2.56969753388,5140.41285578,2000.39607308,0.988136641694,2.80810186267,1.09,0.369071168857,1.0,2364.49533385,920.145387801,2.174,,,2364.49533385,920.145387801,2.174,,2364.49533385,920.145387801,2.174,
2104.1868,130.619,332.384,112.319,2.202,2333.50431407,917.011649177,2.54468339216,5138.37649959,2019.25965149,0.835603821568,2.78369661145,1.09,0.343447939565,1.0,2333.50431407,917.011649177,2.202,,,2333.50431407,917.011649177,2.202,,2333.50431407,917.011649177,2.202,
2104.3391,132.133,338.596,99.757,2.247,2306.76666692,900.187834469,2.56253925969,5183.30470057,2022.72206405,0.662918413637,2.75606694618,1.09,0.305550114507,1.0,2306.76666692,900.187834469,2.247,,,2306.76666692,900.187834469,2.247,,2306.76666692,900.187834469,2.247,
