%   'Depth'   	'Corrected density'
   2.0134000e+03   2.2400000e+00
   2.0135000e+03   2.2420000e+00
   2.0137000e+03   2.2430000e+00
   2.0138000e+03   2.2410000e+00
   2.0140000e+03   2.2380000e+00
   2.0141000e+03   2.2340000e+00
   2.0143000e+03   2.2340000e+00
   2.0144000e+03   2.2330000e+00
   2.0146000e+03   2.2310000e+00
   2.0147000e+03   2.2280000e+00
   2.0149000e+03   2.2290000e+00
   2.0150000e+03   2.2270000e+00
   2.0152000e+03   2.2170000e+00
   2.0153000e+03   2.2140000e+00
   2.0155000e+03   2.2140000e+00
   2.0156000e+03   2.2190000e+00
   2.0158000e+03   2.2200000e+00
   2.0159000e+03   2.2210000e+00
   2.0161000e+03   2.2340000e+00
   2.0163000e+03   2.2360000e+00
   2.0164000e+03   2.2420000e+00
   2.0166000e+03   2.2560000e+00
   2.0167000e+03   2.2580000e+00
   2.0169000e+03   2.2520000e+00
   2.0170000e+03   2.2550000e+00
   2.0172000e+03   2.2380000e+00
   2.0173000e+03   2.2410000e+00
   2.0175000e+03   2.2420000e+00
   2.0176000e+03   2.2820000e+00
   2.0178000e+03   2.2900000e+00
   2.0179000e+03   2.2950000e+00
   2.0181000e+03   2.2680000e+00
   2.0182000e+03   2.2940000e+00
   2.0184000e+03   2.2590000e+00
   2.0185000e+03   2.2510000e+00
   2.0187000e+03   2.2340000e+00
   2.0188000e+03   2.2330000e+00
   2.0190000e+03   2.2190000e+00
   2.0192000e+03   2.2200000e+00
   2.0193000e+03   2.2360000e+00
   2.0194000e+03   2.2530000e+00
   2.0196000e+03   2.2560000e+00
   2.0198000e+03   2.2650000e+00
   2.0199000e+03   2.2620000e+00
   2.0201000e+03   2.2700000e+00
   2.0202000e+03   2.2810000e+00
   2.0204000e+03   2.2760000e+00
   2.0205000e+03   2.2760000e+00
   2.0207000e+03   2.2770000e+00
   2.0208000e+03   2.2560000e+00
   2.0210000e+03   2.2440000e+00
   2.0211000e+03   2.2770000e+00
   2.0213000e+03   2.2780000e+00
   2.0214000e+03   2.2890000e+00
   2.0216000e+03   2.2860000e+00
   2.0217000e+03   2.2830000e+00
   2.0219000e+03   2.2950000e+00
   2.0220000e+03   2.3000000e+00
   2.0222000e+03   2.3440000e+00
   2.0223000e+03   2.3490000e+00
   2.0225000e+03   2.3150000e+00
   2.0227000e+03   2.3520000e+00
   2.0228000e+03   2.3560000e+00
   2.0230000e+03   2.3710000e+00
   2.0231000e+03   2.3890000e+00
   2.0233000e+03   2.3160000e+00
   2.0234000e+03   2.3200000e+00
   2.0236000e+03   2.4310000e+00
   2.0237000e+03   2.5610000e+00
   2.0239000e+03   2.5150000e+00
   2.0240000e+03   2.4390000e+00
   2.0242000e+03   2.3780000e+00
   2.0243000e+03   2.3540000e+00
   2.0245000e+03   2.3330000e+00
   2.0246000e+03   2.3300000e+00
   2.0248000e+03   2.2850000e+00
   2.0249000e+03   2.3280000e+00
   2.0251000e+03   2.4310000e+00
   2.0252000e+03   2.5650000e+00
   2.0254000e+03   2.4860000e+00
   2.0256000e+03   2.3170000e+00
   2.0257000e+03   2.2690000e+00
   2.0258000e+03   2.3060000e+00
   2.0260000e+03   2.2740000e+00
   2.0262000e+03   2.3410000e+00
   2.0263000e+03   2.3900000e+00
   2.0265000e+03   2.3190000e+00
   2.0266000e+03   2.3060000e+00
   2.0268000e+03   2.3210000e+00
   2.0269000e+03   2.3130000e+00
   2.0271000e+03   2.2780000e+00
   2.0272000e+03   2.2990000e+00
   2.0274000e+03   2.2750000e+00
   2.0275000e+03   2.2480000e+00
   2.0277000e+03   2.2510000e+00
   2.0278000e+03   2.2530000e+00
   2.0280000e+03   2.2590000e+00
   2.0281000e+03   2.2690000e+00
   2.0283000e+03   2.2930000e+00
