%Depth:M	   Sw_deep:fract	Sw_x:fract
1988.3600	1.0000	1.0000
1988.5088	1.0000	1.0000
1988.6613	1.0000	1.0000
1988.8136	1.0000	1.0000
1988.9661	1.0000	1.0000
1989.1184	1.0000	1.0000
1989.2709	1.0000	1.0000
1989.4232	1.0000	1.0000
1989.5757	1.0000	1.0000
1989.7280	1.0000	1.0000
1989.8804	1.0000	1.0000
1990.0328	1.0000	1.0000
1990.1852	1.0000	1.0000
1990.3376	1.0000	1.0000
1990.4900	1.0000	1.0000
1990.6425	1.0000	1.0000
1990.7948	1.0000	1.0000
1990.9473	1.0000	1.0000
1991.0996	1.0000	1.0000
1991.2521	1.0000	1.0000
1991.4044	1.0000	1.0000
1991.5569	1.0000	1.0000
1991.7092	1.0000	1.0000
1991.8616	1.0000	1.0000
1992.0140	1.0000	1.0000
1992.1664	1.0000	1.0000
1992.3188	1.0000	1.0000
1992.4712	1.0000	1.0000
1992.6237	1.0000	1.0000
1992.7760	1.0000	1.0000
1992.9285	1.0000	1.0000
1993.0808	1.0000	1.0000
1993.2333	1.0000	1.0000
1993.3856	1.0000	1.0000
1993.5381	1.0000	1.0000
1993.6904	1.0000	1.0000
1993.8428	1.0000	1.0000
1993.9952	1.0000	1.0000
1994.1476	1.0000	1.0000
1994.3000	1.0000	1.0000
1994.4524	1.0000	1.0000
1994.6049	1.0000	1.0000
1994.7572	1.0000	1.0000
1994.9097	1.0000	1.0000
1995.0620	1.0000	1.0000
1995.2145	1.0000	1.0000
1995.3668	1.0000	1.0000
1995.5192	1.0000	1.0000
1995.6716	1.0000	1.0000
1995.8240	1.0000	1.0000
1995.9764	1.0000	1.0000
1996.1288	1.0000	1.0000
1996.2812	1.0000	1.0000
1996.4336	1.0000	1.0000
1996.5861	1.0000	1.0000
1996.7384	1.0000	1.0000
1996.8909	1.0000	1.0000
1997.0432	1.0000	1.0000
1997.1957	1.0000	1.0000
1997.3480	1.0000	1.0000
1997.5004	1.0000	1.0000
1997.6528	1.0000	1.0000
1997.8052	1.0000	1.0000
1997.9576	1.0000	1.0000
1998.1100	1.0000	1.0000
1998.2625	1.0000	1.0000
1998.4148	1.0000	0.9950
1998.5673	1.0000	1.0000
1998.7196	1.0000	1.0000
1998.8721	1.0000	1.0000
1999.0244	1.0000	1.0000
1999.1769	1.0000	1.0000
1999.3292	1.0000	1.0000
1999.4816	1.0000	1.0000
1999.6340	1.0000	1.0000
1999.7864	1.0000	1.0000
1999.9388	1.0000	1.0000
2000.0912	1.0000	1.0000
2000.2437	1.0000	1.0000
2000.3960	1.0000	1.0000
2000.5485	1.0000	1.0000
2000.7008	1.0000	1.0000
2000.8533	1.0000	1.0000
2001.0056	1.0000	1.0000
2001.1581	1.0000	0.9340
2001.3104	1.0000	1.0000
2001.4628	1.0000	1.0000
2001.6152	1.0000	1.0000
2001.7676	1.0000	1.0000
2001.9200	1.0000	1.0000
2002.0724	1.0000	1.0000
2002.2249	1.0000	1.0000
2002.3772	1.0000	1.0000
2002.5297	1.0000	1.0000
2002.6820	1.0000	1.0000
2002.8345	1.0000	1.0000
2002.9868	1.0000	1.0000
2003.1393	1.0000	1.0000
2003.2916	1.0000	1.0000
2003.4440	1.0000	1.0000
2003.5964	1.0000	1.0000
2003.7488	1.0000	1.0000
2003.9012	1.0000	1.0000
2004.0536	1.0000	1.0000
2004.2061	1.0000	1.0000
2004.3584	1.0000	1.0000
2004.5109	1.0000	1.0000
2004.6632	1.0000	1.0000
2004.8157	1.0000	1.0000
2004.9680	1.0000	1.0000
2005.1205	1.0000	1.0000
2005.2728	1.0000	1.0000
2005.4252	1.0000	1.0000
2005.5776	1.0000	1.0000
2005.7300	1.0000	1.0000
2005.8824	1.0000	1.0000
2006.0348	1.0000	1.0000
2006.1873	1.0000	1.0000
2006.3396	1.0000	1.0000
2006.4921	1.0000	1.0000
2006.6444	1.0000	1.0000
2006.7969	1.0000	1.0000
2006.9492	1.0000	1.0000
2007.1017	1.0000	1.0000
2007.2540	1.0000	1.0000
2007.4064	1.0000	1.0000
2007.5588	1.0000	1.0000
2007.7112	1.0000	1.0000
2007.8636	1.0000	1.0000
2008.0160	1.0000	1.0000
2008.1685	1.0000	1.0000
2008.3208	1.0000	1.0000
2008.4733	1.0000	1.0000
2008.6256	1.0000	1.0000
2008.7781	1.0000	1.0000
2008.9304	1.0000	1.0000
2009.0829	1.0000	1.0000
2009.2352	1.0000	0.9780
2009.3876	1.0000	1.0000
2009.5400	1.0000	1.0000
2009.6924	1.0000	1.0000
2009.8448	1.0000	1.0000
2009.9972	1.0000	1.0000
2010.1497	1.0000	1.0000
2010.3020	1.0000	1.0000
2010.4545	1.0000	1.0000
2010.6068	1.0000	1.0000
2010.7593	1.0000	1.0000
2010.9116	1.0000	1.0000
2011.0640	1.0000	1.0000
2011.2164	1.0000	1.0000
2011.3688	1.0000	1.0000
2011.5212	1.0000	1.0000
2011.6736	1.0000	1.0000
2011.8260	1.0000	1.0000
2011.9784	1.0000	1.0000
2012.1309	1.0000	1.0000
2012.2832	1.0000	1.0000
2012.4357	1.0000	0.9320
2012.5880	1.0000	0.9610
2012.7405	1.0000	1.0000
2012.8928	1.0000	1.0000
2013.0452	1.0000	1.0000
2013.1976	1.0000	1.0000
2013.3500	1.0000	1.0000
2013.5024	1.0000	1.0000
2013.6548	1.0000	1.0000
2013.8073	1.0000	1.0000
2013.9596	1.0000	1.0000
2014.1121	1.0000	1.0000
2014.2644	1.0000	0.9580
2014.4169	1.0000	1.0000
2014.5692	1.0000	1.0000
2014.7217	1.0000	1.0000
2014.8740	1.0000	0.9580
2015.0264	1.0000	0.9230
2015.1788	1.0000	0.9630
2015.3312	1.0000	0.9730
2015.4836	1.0000	1.0000
2015.6360	1.0000	1.0000
2015.7885	1.0000	1.0000
2015.9408	1.0000	1.0000
2016.0933	1.0000	0.9810
2016.2456	1.0000	0.9930
2016.3981	1.0000	1.0000
2016.5504	1.0000	1.0000
2016.7029	1.0000	0.9720
2016.8552	1.0000	0.8970
2017.0076	1.0000	0.9430
2017.1600	1.0000	1.0000
2017.3124	1.0000	1.0000
2017.4648	1.0000	1.0000
2017.6172	1.0000	1.0000
2017.7697	1.0000	1.0000
2017.9220	1.0000	0.9930
2018.0745	1.0000	0.9620
2018.2268	1.0000	1.0000
2018.3793	1.0000	1.0000
2018.5316	1.0000	0.9620
2018.6841	1.0000	0.9640
2018.8364	1.0000	1.0000
2018.9888	1.0000	1.0000
2019.1412	1.0000	1.0000
2019.2936	1.0000	1.0000
2019.4460	1.0000	1.0000
2019.5984	1.0000	0.9660
2019.7509	1.0000	0.9900
2019.9032	1.0000	1.0000
2020.0557	1.0000	1.0000
2020.2080	1.0000	0.9740
2020.3605	1.0000	0.9940
2020.5128	1.0000	1.0000
2020.6653	1.0000	1.0000
2020.8176	1.0000	1.0000
2020.9700	1.0000	0.9400
2021.1224	1.0000	0.8990
2021.2748	1.0000	0.9140
2021.4272	1.0000	0.9670
2021.5796	1.0000	1.0000
2021.7321	1.0000	1.0000
2021.8844	1.0000	1.0000
2022.0369	1.0000	1.0000
2022.1892	1.0000	1.0000
2022.3417	1.0000	1.0000
2022.4940	1.0000	1.0000
2022.6465	1.0000	0.9550
2022.7988	1.0000	0.7690
2022.9512	1.0000	0.6290
2023.1035	1.0000	0.6670
2023.2561	1.0000	0.9820
2023.4084	1.0000	1.0000
2023.5608	1.0000	1.0000
2023.7131	1.0000	1.0000
2023.8657	1.0000	1.0000
2024.0181	1.0000	1.0000
2024.1704	1.0000	1.0000
2024.3228	1.0000	1.0000
2024.4753	1.0000	1.0000
2024.6277	1.0000	1.0000
2024.7800	1.0000	1.0000
2024.9324	1.0000	1.0000
2025.0847	1.0000	1.0000
2025.2373	1.0000	0.9550
2025.3896	0.9950	0.9440
2025.5420	0.9730	0.9900
2025.6943	0.9960	1.0000
2025.8469	0.9870	1.0000
2025.9993	1.0000	1.0000
2026.1516	1.0000	1.0000
2026.3040	1.0000	1.0000
2026.4565	1.0000	1.0000
2026.6089	1.0000	0.9590
2026.7612	1.0000	0.9590
2026.9136	1.0000	1.0000
2027.0659	0.9610	1.0000
2027.2185	0.9390	1.0000
2027.3708	0.9110	1.0000
2027.5232	0.9160	1.0000
2027.6755	0.9100	1.0000
2027.8281	0.9730	1.0000
2027.9805	0.9590	1.0000
2028.1328	0.9050	0.8860
2028.2852	0.9140	0.8500
2028.4377	0.9420	0.9830
2028.5901	0.9860	1.0000
2028.7424	1.0000	1.0000
2028.8948	1.0000	1.0000
2029.0471	1.0000	1.0000
2029.1997	1.0000	1.0000
2029.3521	1.0000	1.0000
2029.5044	1.0000	1.0000
2029.6567	1.0000	1.0000
2029.8093	0.9830	1.0000
2029.9617	0.9490	0.9950
2030.1140	0.9680	1.0000
2030.2664	0.9830	1.0000
2030.4189	1.0000	1.0000
2030.5713	1.0000	1.0000
2030.7236	1.0000	1.0000
2030.8760	1.0000	1.0000
2031.0283	1.0000	1.0000
2031.1809	1.0000	1.0000
2031.3333	1.0000	1.0000
2031.4856	0.9640	1.0000
2031.6379	0.9740	1.0000
2031.7905	1.0000	1.0000
2031.9429	1.0000	1.0000
2032.0952	1.0000	1.0000
2032.2476	1.0000	1.0000
2032.4001	1.0000	1.0000
2032.5525	1.0000	1.0000
2032.7048	1.0000	0.9980
2032.8572	1.0000	1.0000
2033.0095	0.9920	1.0000
2033.1621	0.9720	1.0000
2033.3145	1.0000	0.9940
2033.4668	1.0000	1.0000
2033.6191	1.0000	1.0000
2033.7717	1.0000	1.0000
2033.9241	1.0000	1.0000
2034.0764	1.0000	0.9910
2034.2288	0.9630	0.9780
2034.3811	0.9570	0.9780
2034.5337	0.9750	1.0000
2034.6860	1.0000	0.9780
2034.8384	1.0000	1.0000
2034.9907	1.0000	1.0000
2035.1433	1.0000	1.0000
2035.2957	1.0000	0.9820
2035.4480	1.0000	1.0000
2035.6003	0.9670	1.0000
2035.7529	0.9620	1.0000
2035.9053	0.9680	1.0000
2036.0576	1.0000	1.0000
2036.2100	1.0000	1.0000
2036.3623	1.0000	1.0000
2036.5149	0.9770	1.0000
2036.6672	0.9420	1.0000
2036.8196	1.0000	0.7650
2036.9719	1.0000	1.0000
2037.1245	1.0000	1.0000
2037.2769	1.0000	1.0000
2037.4292	1.0000	1.0000
2037.5815	1.0000	1.0000
2037.7341	1.0000	1.0000
2037.8865	1.0000	0.9830
2038.0388	1.0000	1.0000
2038.1912	1.0000	1.0000
2038.3435	1.0000	1.0000
2038.4961	1.0000	1.0000
2038.6484	1.0000	1.0000
