%' Depth (m) '	      ' Vp'	    'Density'	'Gamma Ray'    
    1993.44080        2.07913        1.92810       90.16550
    1993.59314        2.11520        1.93500       88.57340
    1993.74561        2.10788        1.96730       87.88420
    1993.89795        2.11520        2.00090       86.38610
    1994.05042        2.13147        2.01870       84.63190
    1994.20276        2.13745        2.02000       87.15460
    1994.35522        2.16324        2.00870       85.69610
    1994.50757        2.20072        1.98720       88.79030
    1994.66003        2.24448        1.95250       91.30320
    1994.81238        2.19123        1.93170       90.29380
    1994.96484        2.16017        1.92950       88.81520
    1995.11719        2.10207        1.94440       88.34320
    1995.26965        2.09341        2.00660       89.42380
    1995.42200        2.05668        1.96920       88.54730
    1995.57434        2.08339        1.91890       88.56730
    1995.72681        2.21834        1.89510       90.57010
    1995.87915        2.22319        1.91320       90.44210
    1996.03162        2.23789        1.98370       89.39280
    1996.18396        2.18808        2.06180       89.43240
    1996.33643        2.18651        2.11410       90.53090
    1996.48877        2.09629        2.10570       90.11280
    1996.64124        2.10934        2.07730       89.51550
    1996.79358        2.14346        2.08150       90.73410
    1996.94604        2.13595        2.07810       88.74260
    1997.09839        2.11520        2.08420       88.80790
    1997.25085        2.14045        2.09070       86.71100
    1997.40320        2.15254        2.08680       88.69210
    1997.55554        2.15559        2.05600       90.09190
    1997.70801        2.16170        2.04560       93.71050
    1997.86035        2.18182        2.02980       91.92540
    1998.01282        2.16324        2.04850       89.09170
    1998.16516        2.16477        2.02830       91.00890
    1998.31763        2.15254        2.05620       90.50130
    1998.46997        2.13895        2.09530       91.32170
    1998.62244        2.15864        2.14440       91.51910
    1998.77478        2.20072        2.18990       91.97110
    1998.92725        2.19123        2.21850       91.46280
    1999.07959        2.19913        2.18570       93.05920
    1999.23206        2.20870        2.15970       92.01890
    1999.38440        2.20072        2.16120       89.34440
    1999.53674        2.19913        2.16540       91.91510
    1999.68921        2.17094        2.15730       94.88240
    1999.84155        2.18338        2.15890       95.93790
    1999.99402        2.14497        2.17740       96.83270
    2000.14636        2.21996        2.22150       95.68220
    2000.29883        2.19123        2.25510       92.05270
    2000.45117        2.18808        2.24840       92.76800
    2000.60364        2.25945        2.25160       90.24290
    2000.75598        2.24118        2.24790       87.48070
    2000.90845        2.25611        2.23130       89.52740
    2001.06079        2.24945        2.21990       87.23390
    2001.21326        2.19755        2.22570       90.51050
    2001.36560        2.23460        2.23200       96.59850
    2001.51794        2.22807        2.27540       97.80130
    2001.67041        2.19123        2.36070      101.02240
    2001.82275        2.19281        2.40680       98.56580
    2001.97522        2.18338        2.31970       97.21100
    2002.12756        2.19123        2.21090       96.45210
    2002.28003        2.21834        2.15950       96.33430
    2002.43237        2.25277        2.12120       95.89950
    2002.58484        2.27293        2.11440       94.98170
    2002.73718        2.30211        2.08680       96.52890
    2002.88965        2.33028        2.11870       96.25840
    2003.04199        2.30734        2.12650       98.41090
    2003.19446        2.28315        2.13160       95.11610
    2003.34680        2.23789        2.12400       93.54160
    2003.49915        2.25111        2.12270       91.62620
    2003.65161        2.23460        2.09310       90.27670
    2003.80396        2.26617        2.05200       94.25710
    2003.95642        2.28829        2.03710       95.43510
    2004.10876        2.31435        2.08680       95.59950
    2004.26123        2.28144        2.13470       93.33640
    2004.41357        2.28657        2.14460       93.32940
    2004.56604        2.32850        2.11070       94.36110
    2004.71838        2.38684        2.09450       93.01120
    2004.87085        2.39623        2.09400       96.04280
    2005.02319        2.39246        2.11000       95.48520
    2005.17566        2.39623        2.13250       92.71450
    2005.32800        2.35913        2.18520       91.81840
    2005.48035        2.39434        2.20870       98.79930
    2005.63281        2.34101        2.17870       97.79530
    2005.78516        2.33922        2.13460       97.70200
    2005.93762        2.31963        2.11940       98.68050
    2006.08997        2.33922        2.10090       97.31270
    2006.24243        2.35004        2.11950       97.15700
    2006.39478        2.31611        2.12990       97.91950
    2006.54724        2.32317        2.13410       95.37790
    2006.69958        2.31084        2.10760       96.46270
    2006.85205        2.29345        2.10150       97.90070
    2007.00439        2.26955        2.09550       96.95700
    2007.15686        2.29691        2.11840       96.79320
    2007.30920        2.34101        2.12850       93.79570
    2007.46155        2.37014        2.15750       91.73410
    2007.61401        2.41521        2.16320       89.60950
    2007.76636        2.36646        2.17170       93.61110
    2007.91882        2.34281        2.15010       94.22120
    2008.07117        2.35367        2.13240       97.01490
    2008.22363        2.41330        2.12260       98.80290
    2008.37598        2.28315        2.15570       97.54360
    2008.52844        2.21030        2.20730       99.98400
    2008.68079        2.21673        2.19090      102.02070
    2008.83325        2.29173        2.17500      105.98580
    2008.98560        2.37754        2.16610      105.90380
    2009.13794        2.47604        2.15750      102.70010
    2009.29041        2.45806        2.13300      100.29970
    2009.44275        2.44231        2.10070      101.81790
    2009.59521        2.45806        2.11520      103.06220
    2009.74756        2.44427        2.13830      101.84200
    2009.90002        2.40189        2.14580       99.02640
    2010.05237        2.44427        2.11770      101.39390
    2010.20483        2.49223        2.10100      104.01540
    2010.35718        2.46403        2.08640      105.82090
    2010.50964        2.41713        2.10310      103.94640
    2010.66199        2.34642        2.12130      103.43140
    2010.81445        2.35367        2.12320      105.51070
    2010.96680        2.34823        2.13300      105.32840
    2011.11914        2.37939        2.14490      105.68530
    2011.27161        2.37198        2.15240      105.39220
    2011.42395        2.33206        2.11750      104.18580
    2011.57642        2.31611        2.08020      103.06100
    2011.72876        2.29173        2.08290      106.86000
    2011.88123        2.31259        2.12690      103.21540
    2012.03357        2.34642        2.13510      101.55700
    2012.18604        2.37568        2.16360      102.06850
    2012.33838        2.32494        2.16290      105.29610
    2012.49084        2.35549        2.14080      104.01180
    2012.64319        2.33384        2.09230      102.40270
    2012.79565        2.29691        2.08340      101.87680
    2012.94800        2.29345        2.10450      100.18490
    2013.10034        2.24945        2.12450      101.52310
    2013.25281        2.25111        2.12990       97.37620
    2013.40515        2.21190        2.15010       98.86490
    2013.55762        2.25611        2.14160      101.38060
    2013.70996        2.26955        2.12780       98.82570
    2013.86243        2.29001        2.10940       97.85350
    2014.01477        2.28486        2.12130      103.84810
    2014.16724        2.29001        2.12800      105.25940
    2014.31958        2.29173        2.13820      104.04840
    2014.47205        2.27973        2.16450      104.19510
    2014.62439        2.29173        2.17310      103.99910
    2014.77686        2.31084        2.18010      106.50110
    2014.92920        2.33563        2.14790      108.21040
    2015.08154        2.32850        2.13680      109.70000
    2015.23401        2.33922        2.12990      109.13390
    2015.38635        2.34823        2.12880      104.73310
    2015.53882        2.35185        2.13220      105.31230
    2015.69116        2.34101        2.13730      103.49000
    2015.84363        2.35367        2.13610      106.08440
    2015.99597        2.34101        2.12890      106.10870
    2016.14844        2.33742        2.12970      106.49250
    2016.30078        2.39623        2.14640      106.72530
    2016.45325        2.41139        2.18180      105.78860
    2016.60559        2.38125        2.17670      103.46090
    2016.75806        2.33206        2.15030      106.06090
    2016.91040        2.38871        2.12640      109.89120
    2017.06274        2.40000        2.12090      107.09370
    2017.21521        2.38871        2.11860      107.01920
    2017.36755        2.43062        2.09960      108.90550
    2017.52002        2.36279        2.08360      107.48030
    2017.67236        2.37754        2.06150      104.12780
    2017.82483        2.38125        2.07780      103.99220
    2017.97717        2.38498        2.07550      107.35410
    2018.12964        2.35004        2.10330      109.86690
    2018.28198        2.39059        2.11210      109.87940
    2018.43445        2.35913        2.11310      105.85550
    2018.58679        2.36279        2.11870      106.90710
    2018.73926        2.36096        2.12920      108.62270
    2018.89160        2.32140        2.14400      105.43640
    2019.04395        2.33742        2.16390      108.87860
    2019.19641        2.30211        2.17610      105.82710
    2019.34875        2.27633        2.18160      102.21210
    2019.50122        2.32494        2.17910      103.56990
    2019.65356        2.32317        2.17580      102.00870
    2019.80603        2.32672        2.23000      104.19700
    2019.95837        2.30211        2.30550      104.85450
    2020.11084        2.35367        2.33420      104.70690
    2020.26318        2.35004        2.26570      105.21090
    2020.41565        2.39246        2.20850      105.11750
    2020.56799        2.38684        2.19970      107.60050
    2020.72046        2.32140        2.19200      108.28160
    2020.87280        2.32850        2.20450      108.07090
