%  'Depth (m)'	   ' t_p'  		' t_s'		'GR'		'rho' 
   2.1000720e+03   1.2713400e+02   3.1237200e+02   8.6778000e+01   2.2620000e+00
   2.1002244e+03   1.2801700e+02   3.1365400e+02   9.0658000e+01   2.2600000e+00
   2.1003767e+03   1.2851200e+02   3.1370600e+02   1.0247900e+02   2.2670000e+00
   2.1005293e+03   1.2853400e+02   3.1636200e+02   1.1454900e+02   2.2720000e+00
   2.1006816e+03   1.2830900e+02   3.2135600e+02   1.1894800e+02   2.2750000e+00
   2.1008340e+03   1.2814600e+02   3.2376000e+02   1.1412000e+02   2.2800000e+00
   2.1009863e+03   1.2775800e+02   3.2623400e+02   1.1232400e+02   2.2820000e+00
   2.1011389e+03   1.2709700e+02   3.2858200e+02   1.1763700e+02   2.2760000e+00
   2.1012913e+03   1.2594800e+02   3.2910200e+02   1.1625600e+02   2.2670000e+00
   2.1014436e+03   1.2510500e+02   3.2642100e+02   1.0990500e+02   2.2650000e+00
   2.1015959e+03   1.2470900e+02   3.2083600e+02   1.0589900e+02   2.2720000e+00
   2.1017485e+03   1.2458500e+02   3.1660100e+02   1.0545100e+02   2.2800000e+00
   2.1019009e+03   1.2448400e+02   3.1345600e+02   1.0763800e+02   2.2810000e+00
   2.1020532e+03   1.2428800e+02   3.1256300e+02   1.0936500e+02   2.2730000e+00
   2.1022056e+03   1.2416600e+02   3.1257100e+02   1.0691100e+02   2.2630000e+00
   2.1023579e+03   1.2416300e+02   3.1228500e+02   9.7710000e+01   2.2600000e+00
   2.1025105e+03   1.2417800e+02   3.1193400e+02   8.9672000e+01   2.2650000e+00
   2.1026628e+03   1.2413500e+02   3.0987500e+02   8.8904000e+01   2.2700000e+00
   2.1028152e+03   1.2401300e+02   3.0918300e+02   9.4381000e+01   2.2700000e+00
   2.1029675e+03   1.2380000e+02   3.0925500e+02   1.0481400e+02   2.2700000e+00
   2.1031201e+03   1.2362900e+02   3.1043600e+02   1.1103700e+02   2.2700000e+00
   2.1032725e+03   1.2361100e+02   3.1209100e+02   1.0804000e+02   2.2680000e+00
   2.1034248e+03   1.2404700e+02   3.1411800e+02   1.0573700e+02   2.2620000e+00
   2.1035771e+03   1.2491300e+02   3.1916400e+02   1.0825700e+02   2.2550000e+00
   2.1037297e+03   1.2625500e+02   3.2583300e+02   1.1622300e+02   2.2370000e+00
   2.1038821e+03   1.2758200e+02   3.3113600e+02   1.2427800e+02   2.1970000e+00
   2.1040344e+03   1.2890700e+02   3.3125200e+02   1.2341500e+02   2.1740000e+00
   2.1041868e+03   1.3061900e+02   3.3238400e+02   1.1231900e+02   2.2020000e+00
   2.1043391e+03   1.3213300e+02   3.3859600e+02   9.9757000e+01   2.2470000e+00
   2.1044917e+03   1.3326800e+02   3.4956800e+02   9.3512000e+01   2.2670000e+00
   2.1046440e+03   1.3413400e+02   3.5515300e+02   9.0931000e+01   2.2690000e+00
   2.1047964e+03   1.3379800e+02   3.5457700e+02   9.1473000e+01   2.2650000e+00
   2.1049487e+03   1.3172600e+02   3.5039000e+02   9.7427000e+01   2.2560000e+00
   2.1051013e+03   1.2842000e+02   3.4588800e+02   1.0431600e+02   2.2520000e+00
   2.1052537e+03   1.2572900e+02   3.4016100e+02   1.0542100e+02   2.2570000e+00
   2.1054060e+03   1.2449500e+02   3.3437300e+02   1.0262800e+02   2.2640000e+00
   2.1055583e+03   1.2457700e+02   3.2902300e+02   1.0245100e+02   2.2620000e+00
